table,survey,geography_id,geography_name,geography_type_id,date,apartment
1.2.2,Scss,5915004,Surrey (CY),4,2011-12-01,920
1.2.2,Scss,5915004,Surrey (CY),4,2012-01-01,111
1.2.2,Scss,5915004,Surrey (CY),4,2012-02-01,60
1.2.2,Scss,5915004,Surrey (CY),4,2012-03-01,36
1.2.2,Scss,5915004,Surrey (CY),4,2012-04-01,147
1.2.2,Scss,5915004,Surrey (CY),4,2012-05-01,46
1.2.2,Scss,5915004,Surrey (CY),4,2012-06-01,52
1.2.2,Scss,5915004,Surrey (CY),4,2012-07-01,44
1.2.2,Scss,5915004,Surrey (CY),4,2012-08-01,62
1.2.2,Scss,5915004,Surrey (CY),4,2012-09-01,212
1.2.2,Scss,5915004,Surrey (CY),4,2012-10-01,68
1.2.2,Scss,5915004,Surrey (CY),4,2012-11-01,46
1.2.2,Scss,5915004,Surrey (CY),4,2012-12-01,52
1.2.2,Scss,5915004,Surrey (CY),4,2013-01-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2013-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2013-03-01,96
1.2.2,Scss,5915004,Surrey (CY),4,2013-04-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2013-05-01,362
1.2.2,Scss,5915004,Surrey (CY),4,2013-06-01,48
1.2.2,Scss,5915004,Surrey (CY),4,2013-07-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2013-08-01,121
1.2.2,Scss,5915004,Surrey (CY),4,2013-09-01,88
1.2.2,Scss,5915004,Surrey (CY),4,2013-10-01,29
1.2.2,Scss,5915004,Surrey (CY),4,2013-11-01,127
1.2.2,Scss,5915004,Surrey (CY),4,2013-12-01,152
1.2.2,Scss,5915004,Surrey (CY),4,2014-01-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2014-02-01,99
1.2.2,Scss,5915004,Surrey (CY),4,2014-03-01,168
1.2.2,Scss,5915004,Surrey (CY),4,2014-04-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2014-05-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2014-06-01,51
1.2.2,Scss,5915004,Surrey (CY),4,2014-07-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2014-08-01,117
1.2.2,Scss,5915004,Surrey (CY),4,2014-09-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2014-10-01,63
1.2.2,Scss,5915004,Surrey (CY),4,2014-11-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2014-12-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2015-01-01,103
1.2.2,Scss,5915004,Surrey (CY),4,2015-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2015-03-01,33
1.2.2,Scss,5915004,Surrey (CY),4,2015-04-01,273
1.2.2,Scss,5915004,Surrey (CY),4,2015-05-01,65
1.2.2,Scss,5915004,Surrey (CY),4,2015-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2015-07-01,124
1.2.2,Scss,5915004,Surrey (CY),4,2015-08-01,89
1.2.2,Scss,5915004,Surrey (CY),4,2015-09-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2015-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2015-11-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2015-12-01,64
1.2.2,Scss,5915004,Surrey (CY),4,2016-01-01,56
1.2.2,Scss,5915004,Surrey (CY),4,2016-02-01,246
1.2.2,Scss,5915004,Surrey (CY),4,2016-03-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2016-04-01,52
1.2.2,Scss,5915004,Surrey (CY),4,2016-05-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2016-06-01,64
1.2.2,Scss,5915004,Surrey (CY),4,2016-07-01,66
1.2.2,Scss,5915004,Surrey (CY),4,2016-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2016-09-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2016-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2016-11-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2016-12-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2017-01-01,418
1.2.2,Scss,5915004,Surrey (CY),4,2017-02-01,64
1.2.2,Scss,5915004,Surrey (CY),4,2017-03-01,310
1.2.2,Scss,5915004,Surrey (CY),4,2017-04-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2017-05-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2017-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2017-07-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2017-08-01,57
1.2.2,Scss,5915004,Surrey (CY),4,2017-09-01,455
1.2.2,Scss,5915004,Surrey (CY),4,2017-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2017-11-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2017-12-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2018-01-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2018-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2018-03-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2018-04-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2018-05-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2018-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2018-07-01,430
1.2.2,Scss,5915004,Surrey (CY),4,2018-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2018-09-01,198
1.2.2,Scss,5915004,Surrey (CY),4,2018-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2018-11-01,64
1.2.2,Scss,5915004,Surrey (CY),4,2018-12-01,141
1.2.2,Scss,5915004,Surrey (CY),4,2019-01-01,126
1.2.2,Scss,5915004,Surrey (CY),4,2019-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2019-03-01,117
1.2.2,Scss,5915004,Surrey (CY),4,2019-04-01,89
1.2.2,Scss,5915004,Surrey (CY),4,2019-05-01,124
1.2.2,Scss,5915004,Surrey (CY),4,2019-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2019-07-01,178
1.2.2,Scss,5915004,Surrey (CY),4,2019-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2019-09-01,485
1.2.2,Scss,5915004,Surrey (CY),4,2019-10-01,93
1.2.2,Scss,5915004,Surrey (CY),4,2019-11-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2019-12-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2020-01-01,29
1.2.2,Scss,5915004,Surrey (CY),4,2020-02-01,305
1.2.2,Scss,5915004,Surrey (CY),4,2020-03-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2020-04-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2020-05-01,398
1.2.2,Scss,5915004,Surrey (CY),4,2020-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2020-07-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2020-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2020-09-01,3
1.2.2,Scss,5915004,Surrey (CY),4,2020-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2020-11-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2020-12-01,190
1.2.2,Scss,5915004,Surrey (CY),4,2021-01-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2021-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2021-03-01,55
1.2.2,Scss,5915004,Surrey (CY),4,2021-04-01,161
1.2.2,Scss,5915004,Surrey (CY),4,2021-05-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2021-06-01,125
1.2.2,Scss,5915004,Surrey (CY),4,2021-07-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2021-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2021-09-01,765
1.2.2,Scss,5915004,Surrey (CY),4,2021-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2021-11-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2021-12-01,67
1.2.2,Scss,5915004,Surrey (CY),4,2022-01-01,112
1.2.2,Scss,5915004,Surrey (CY),4,2022-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2022-03-01,140
1.2.2,Scss,5915004,Surrey (CY),4,2022-04-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2022-05-01,650
1.2.2,Scss,5915004,Surrey (CY),4,2022-06-01,156
1.2.2,Scss,5915004,Surrey (CY),4,2022-07-01,166
1.2.2,Scss,5915004,Surrey (CY),4,2022-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2022-09-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2022-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2022-11-01,351
1.2.2,Scss,5915004,Surrey (CY),4,2022-12-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2023-01-01,71
1.2.2,Scss,5915004,Surrey (CY),4,2023-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2023-03-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2023-04-01,241
1.2.2,Scss,5915004,Surrey (CY),4,2023-05-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2023-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2023-07-01,108
1.2.2,Scss,5915004,Surrey (CY),4,2023-08-01,598
1.2.2,Scss,5915004,Surrey (CY),4,2023-09-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2023-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2023-11-01,179
1.2.2,Scss,5915004,Surrey (CY),4,2023-12-01,145
1.2.2,Scss,5915004,Surrey (CY),4,2024-01-01,294
1.2.2,Scss,5915004,Surrey (CY),4,2024-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2024-03-01,36
1.2.2,Scss,5915004,Surrey (CY),4,2024-04-01,141
1.2.2,Scss,5915004,Surrey (CY),4,2024-05-01,35
1.2.2,Scss,5915004,Surrey (CY),4,2024-06-01,77
1.2.2,Scss,5915004,Surrey (CY),4,2024-07-01,96
1.2.2,Scss,5915004,Surrey (CY),4,2024-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2024-09-01,514
